Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
hugheel01,23,0.459,1.5666666666666664,0.5666666666666667,3.4666666666666663,0.20000000000000004,0.39999999999999997,Elijah Hughes,GF,SG-SF,2022,False,N
huntede01,24,0.547,3.3,1.3,13.4,0.4,0.7,De'Andre Hunter,F,SF,2022,False,N
huntfe01,22,0.0,0.5,0.5,0.0,0.0,0.5,Feron Hunt,F,SF,2022,False,N
hutchch01,25,0.694,0.8,0.3,0.7,0.0,0.0,Chandler Hutchison,F,SF,2022,False,N
hylanbo01,21,0.558,2.7,2.8,10.1,0.3,0.6,Bones Hyland,G,SG,2022,False,N
ibakase01,32,0.5823333333333333,4.733333333333333,0.8666666666666666,6.8,0.5666666666666665,0.20000000000000004,Serge Ibaka,C,C,2022,False,N
iguodan01,38,0.478,3.2,3.7,4.0,0.7,0.9,Andre Iguodala,F,SF,2022,False,N
inglejo01,34,0.551,2.9,3.5,7.2,0.1,0.5,Joe Ingles,F,SF,2022,False,N
ingrabr01,24,0.554,5.8,5.6,22.7,0.5,0.6,Brandon Ingram,F,SF,2022,False,N
irvinky01,29,0.592,4.4,5.8,27.4,0.6,1.4,Kyrie Irving,G,PG,2022,False,N
iwundwe01,27,0.557,4.3,0.0,7.3,0.0,0.3,Wes Iwundu,F,SF,2022,False,N
jacksfr01,23,0.53,1.6,1.0,10.6,0.2,0.5,Frank Jackson,G,PG,2022,False,N
jacksis01,20,0.607,4.1,0.3,8.3,1.4,0.7,Isaiah Jackson,F,PF,2022,False,N
jacksja02,22,0.535,5.8,1.1,16.3,2.3,0.9,Jaren Jackson Jr.,F,PF,2022,False,N
jacksjo02,24,0.47933333333333333,2.5,0.9333333333333335,5.933333333333334,0.39999999999999997,0.4666666666666666,Josh Jackson,F,SF,2022,False,N
jacksju01,26,0.48933333333333334,0.7333333333333334,0.19999999999999998,2.1,0.0,0.0,Justin Jackson,F,SF,2022,False,N
jacksre01,31,0.488,3.6,4.8,16.8,0.2,0.7,Reggie Jackson,G,SG,2022,False,N
jamesle01,37,0.619,8.2,6.2,30.3,1.1,1.3,LeBron James,F,PF,2022,True,N
jarrede01,24,0.0,0.0,0.0,0.0,0.0,0.0,DeJon Jarreau,G,SG,2022,False,N
jeffrda01,24,0.5,0.7,0.3,0.7,0.0,0.0,DaQuan Jeffries,G,SG,2022,False,N
jeromty01,24,0.488,1.6,2.3,7.1,0.1,0.6,Ty Jerome,G,SG,2022,False,N
joeis01,22,0.519,1.0,0.6,3.6,0.1,0.3,Isaiah Joe,G,SG,2022,False,N
johnsal02,25,0.4235,3.075,0.3,1.8,0.0,0.225,Alize Johnson,F,PF,2022,False,N
johnsbj01,26,0.52,3.8,0.0,6.5,0.3,0.0,B.J. Johnson,F,SF,2022,False,N
johnsca02,25,0.625,4.1,1.5,12.5,0.2,0.9,Cameron Johnson,F,PF,2022,False,N
johnsda08,20,0.0,0.0,0.0,0.0,0.0,0.0,David Johnson,G,SG,2022,False,N
johnsja01,34,0.513,3.5,2.1,5.5,0.5,0.5,James Johnson,F,PF,2022,False,N
johnsja05,20,0.59,1.2,0.1,2.4,0.1,0.1,Jalen Johnson,F,PF,2022,False,N
johnsjo02,40,1.0,0.0,0.0,2.0,0.0,0.0,Joe Johnson,G,SG,2022,False,N
johnske04,22,0.574,6.1,2.1,17.0,0.2,0.8,Keldon Johnson,F,SF,2022,False,N
johnske07,19,0.45,2.1,1.9666666666666668,6.8,0.3,0.7666666666666666,Keon Johnson,G,SG,2022,False,N
johnsst04,25,0.564,3.2,1.7,6.7,0.3,0.9,Stanley Johnson,F,PF,2022,False,N
johnsty01,29,0.42500000000000004,2.0,1.2,2.8333333333333335,0.5,0.5,Tyler Johnson,G,PG,2022,False,N
jokicni01,26,0.661,13.8,7.9,27.1,0.9,1.5,Nikola Jokić,C,C,2022,True,Y
jonesca03,24,0.2763333333333333,0.5333333333333333,0.9,0.8333333333333334,0.0,0.16666666666666666,Carlik Jones,G,PG,2022,False,N
jonesda03,26,0.701,4.4,1.2,8.1,0.8,0.5,Damian Jones,C,C,2022,False,N
jonesde02,24,0.633,3.3,0.6,5.6,0.6,0.5,Derrick Jones Jr.,F,PF,2022,False,N
joneshe01,23,0.573,3.8,2.1,9.5,0.8,1.7,Herbert Jones,F,PF,2022,False,N
jonesje01,26,0.667,1.5,0.0,2.0,0.0,0.5,Jemerrio Jones,F,SF,2022,False,N
joneska01,21,0.628,0.5,0.2,1.0,0.1,0.0,Kai Jones,C,C,2022,False,N
jonesma05,23,0.625,2.5,1.0,6.8,0.0,0.5,Mason Jones,G,SG,2022,False,N
jonestr01,22,0.545,2.2,3.4,6.0,0.1,0.6,Tre Jones,G,PG,2022,False,N
jonesty01,25,0.544,2.4,4.4,8.7,0.0,0.9,Tyus Jones,G,PG,2022,False,N
jordade01,33,0.6376666666666667,5.566666666666666,0.43333333333333335,4.333333333333333,0.7000000000000001,0.2333333333333333,DeAndre Jordan,C,C,2022,False,N
josepco01,30,0.579,2.7,3.6,8.0,0.3,0.6,Cory Joseph,G,PG,2022,False,N
kalaige01,23,0.5356666666666667,1.9333333333333333,1.3,8.633333333333333,0.20000000000000004,1.1333333333333333,Georgios Kalaitzakis,F,SF,2022,False,N
kaminfr01,28,0.635,4.6,1.4,10.6,0.8,0.9,Frank Kaminsky,C,C,2022,False,N
kanteen01,29,0.585,4.6,0.2,3.7,0.4,0.1,Enes Freedom,C,C,2022,False,N
kennalu01,25,0.619,3.3,2.1,11.9,0.1,0.6,Luke Kennard,G,SG,2022,False,N
keybr01,24,0.5053333333333333,3.6,0.8666666666666667,5.599999999999999,0.7333333333333334,0.7999999999999999,Braxton Key,F,SF,2022,False,N
kingge03,28,0.085,1.3,0.0,0.3,0.0,0.0,George King,F,SF,2022,False,N
kinglo02,22,0.438,1.2,0.9,4.5,0.1,0.2,Louis King,F,SF,2022,False,N
kispeco01,22,0.586,2.7,1.1,8.2,0.3,0.5,Corey Kispert,F,SF,2022,False,N
klebima01,30,0.537,5.9,1.2,7.0,1.0,0.5,Maxi Kleber,F,PF,2022,False,N
knighbr03,30,0.561,1.6,1.6,6.4,0.0,0.2,Brandon Knight,G,PG,2022,False,N
knighna01,24,0.603,2.3,0.6,3.7,0.2,0.2,Nathan Knight,F,PF,2022,False,N
knoxke01,22,0.49233333333333335,1.5,0.3,3.1333333333333333,0.10000000000000002,0.13333333333333333,Kevin Knox,F,SF,2022,False,N
konchjo01,25,0.615,4.6,1.5,4.8,0.3,0.6,John Konchar,G,SG,2022,False,N
korkmfu01,24,0.502,2.6,1.9,7.6,0.1,0.5,Furkan Korkmaz,G,SG,2022,False,N
kornelu01,26,0.351,1.625,0.45,1.55,0.22499999999999998,0.125,Luke Kornet,C,C,2022,False,N
krejcvi01,21,0.529,3.4,1.9,6.2,0.3,0.6,Vit Krejci,G,SG,2022,False,N
kulboar01,24,0.0,0.0,0.0,0.0,0.0,0.0,Arnoldas Kulboka,F,SF,2022,False,N
kuminjo01,19,0.6,3.3,0.9,9.3,0.3,0.4,Jonathan Kuminga,F,SF,2022,False,N
kuzmaky01,26,0.547,8.5,3.5,17.1,0.9,0.6,Kyle Kuzma,F,PF,2022,False,N
lamban01,24,0.0,0.5,1.0,0.0,0.0,0.0,Anthony Lamb,F,SF,2022,False,N
lambje01,29,0.5196666666666666,2.9,1.5,7.433333333333333,0.43333333333333335,0.5666666666666667,Jeremy Lamb,GF,SF-SG,2022,False,N
landajo01,26,0.597,2.6,0.8,4.9,0.3,0.2,Jock Landale,C,C,2022,False,N
langfro01,22,0.521,1.8999999999999997,0.43333333333333335,4.0,0.2333333333333333,0.43333333333333335,Romeo Langford,G,SG,2022,False,N
lavinza01,26,0.605,4.6,4.5,24.4,0.3,0.6,Zach LaVine,G,SG,2022,True,N
laymaja01,27,0.5,1.1,0.3,2.4,0.1,0.2,Jake Layman,F,SF,2022,False,N
leeda03,29,0.561,3.2,1.0,7.4,0.1,0.6,Damion Lee,G,SG,2022,False,N
leesa01,22,0.499,2.4,2.9,5.6,0.3,1.0,Saben Lee,G,PG,2022,False,N
lenal01,28,0.577,4.1,1.2,6.0,0.6,0.3,Alex Len,C,C,2022,False,N
leverca01,27,0.5220000000000001,3.6333333333333333,4.2,16.433333333333334,0.39999999999999997,0.8666666666666667,Caris LeVert,G,SG,2022,False,N
