Player,Pos,RPG,APG,SPG,BPG,PPG,TS%,Pos_og,Year,All Star,MVP
Álex Abrines,G,1.5,0.6,0.5,0.2,5.3,0.507,SG,2019,False,False
Quincy Acy,F,2.5,0.8,0.1,0.4,1.7,0.379,PF,2019,False,False
Jaylen Adams,G,1.8,1.9,0.4,0.1,3.2,0.474,PG,2019,False,False
Steven Adams,C,9.5,1.6,1.5,1.0,13.9,0.591,C,2019,False,False
Bam Adebayo,C,7.3,2.2,0.9,0.8,8.9,0.623,C,2019,False,False
Deng Adel,F,1.0,0.3,0.1,0.2,1.7,0.424,SF,2019,False,False
DeVaughn Akoon-Purcell,G,0.6,0.9,0.3,0.0,1.0,0.322,SG,2019,False,False
LaMarcus Aldridge,C,9.2,2.4,0.5,1.3,21.3,0.576,C,2019,True,False
Rawle Alkins,G,2.6,1.3,0.1,0.0,3.7,0.418,SG,2019,False,False
Grayson Allen,G,0.6,0.7,0.2,0.2,5.6,0.516,SG,2019,False,False
Jarrett Allen,C,8.4,1.4,0.5,1.5,10.9,0.632,C,2019,False,False
Kadeem Allen,G,2.7,4.0,0.8,0.2,9.9,0.574,PG,2019,False,False
Al-Farouq Aminu,F,7.5,1.3,0.8,0.4,9.4,0.568,PF,2019,False,False
Justin Anderson,F,1.8,0.5,0.5,0.3,3.7,0.516,SF,2019,False,False
Kyle Anderson,F,5.8,3.0,1.3,0.9,8.0,0.569,SF,2019,False,False
Ryan Anderson,F,0.9,0.2,0.1,0.0,0.7,0.354,PF,2019,False,False
Ike Anigbogu,C,1.0,0.3,0.0,0.3,0.0,0.0,C,2019,False,False
Giannis Antetokounmpo,F,12.5,5.9,1.3,1.5,27.7,0.644,PF,2019,True,True
Kostas Antetokounmpo,F,0.5,0.0,1.0,0.0,1.0,0.21,PF,2019,False,False
Carmelo Anthony,F,5.4,0.5,0.4,0.7,13.4,0.513,PF,2019,False,False
OG Anunoby,F,2.9,0.7,0.7,0.3,7.0,0.544,SF,2019,False,False
Ryan Arcidiacono,G,2.7,3.3,0.8,0.0,6.7,0.588,PG,2019,False,False
Trevor Ariza,F,5.3,3.8,1.2,0.3,14.1,0.538,SF,2019,False,False
D.J. Augustin,G,2.5,5.3,0.6,0.0,11.7,0.616,PG,2019,False,False
Deandre Ayton,C,10.3,1.8,0.9,0.9,16.3,0.608,C,2019,False,False
Dwayne Bacon,G,2.1,1.1,0.3,0.1,7.3,0.57,SG,2019,False,False
Marvin Bagley III,F,7.6,1.0,0.5,1.0,14.9,0.562,PF,2019,False,False
Ron Baker,G,1.0,0.5,0.3,0.3,0.0,0.0,SG,2019,False,False
Wade Baldwin,G,0.9,0.8,0.1,0.1,1.9,0.396,PG,2019,False,False
Lonzo Ball,G,5.3,5.4,1.5,0.4,9.9,0.487,PG,2019,False,False
Mo Bamba,C,5.0,0.8,0.3,1.4,6.2,0.539,C,2019,False,False
J.J. Barea,G,2.5,5.6,0.6,0.0,10.9,0.495,PG,2019,False,False
Harrison Barnes,F,5.5,1.9,0.6,0.1,14.3,0.578,SF,2019,False,False
Will Barton,F,4.6,2.9,0.4,0.5,11.5,0.501,SF,2019,False,False
Keita Bates-Diop,F,2.8,0.6,0.6,0.5,5.0,0.489,SF,2019,False,False
Nicolas Batum,F,5.2,3.3,0.9,0.6,9.3,0.581,SF,2019,False,False
Jerryd Bayless,G,1.8,3.5,0.5,0.1,6.1,0.431,PG,2019,False,False
Aron Baynes,C,4.7,1.1,0.2,0.7,5.6,0.567,C,2019,False,False
Kent Bazemore,G,3.9,2.3,1.3,0.6,11.6,0.507,SG,2019,False,False
Bradley Beal,G,5.0,5.5,1.5,0.7,25.6,0.581,SG,2019,True,False
Malik Beasley,G,2.5,1.2,0.7,0.1,11.3,0.599,SG,2019,False,False
Michael Beasley,F,2.3,1.0,0.3,0.4,7.0,0.532,PF,2019,False,False
Marco Belinelli,G,2.5,1.7,0.4,0.1,10.5,0.557,SG,2019,False,False
Jordan Bell,C,2.7,1.1,0.3,0.8,3.3,0.531,C,2019,False,False
DeAndre' Bembry,G,4.4,2.5,1.3,0.5,8.4,0.508,SG,2019,False,False
Dragan Bender,F,4.0,1.2,0.4,0.5,5.0,0.521,PF,2019,False,False
Dairis Bertāns,G,0.8,0.8,0.1,0.0,2.8,0.362,SG,2019,False,False
Dāvis Bertāns,F,3.5,1.3,0.5,0.4,8.0,0.632,PF,2019,False,False
Patrick Beverley,G,5.0,3.8,0.9,0.6,7.6,0.561,PG,2019,False,False
Khem Birch,C,3.8,0.8,0.4,0.6,4.8,0.64,C,2019,False,False
Bismack Biyombo,C,4.6,0.6,0.2,0.8,4.4,0.602,C,2019,False,False
Nemanja Bjelica,F,5.8,1.9,0.7,0.7,9.6,0.585,PF,2019,False,False
Antonio Blakeney,G,1.9,0.7,0.2,0.2,7.3,0.487,SG,2019,False,False
Eric Bledsoe,G,4.6,5.5,1.5,0.4,15.9,0.577,PG,2019,False,False
