Player,Pos,RPG,APG,SPG,BPG,PPG,TS%,Pos_og,Year,All Star,MVP
Jaron Blossomgame,F,3.6,0.5,0.3,0.3,4.2,0.51,SF,2019,False,False
Bogdan Bogdanović,G,3.5,3.8,1.0,0.2,14.1,0.53,SG,2019,False,False
Bojan Bogdanović,F,4.1,2.0,0.9,0.0,18.0,0.613,SF,2019,False,False
Andrew Bogut,C,5.0,1.0,0.3,0.7,3.5,0.523,C,2019,False,False
Jonah Bolden,F,3.8,0.9,0.4,0.9,4.7,0.595,PF,2019,False,False
Isaac Bonga,G,1.1,0.7,0.4,0.2,0.9,0.24,PG,2019,False,False
Devin Booker,G,4.1,6.8,0.9,0.2,26.6,0.584,SG,2019,False,False
Chris Boucher,F,2.0,0.1,0.2,0.9,3.3,0.563,PF,2019,False,False
Avery Bradley,G,3.1,4.0,1.0,0.0,16.1,0.565,SG,2019,False,False
Tony Bradley,C,5.0,0.3,0.7,0.7,5.7,0.504,C,2019,False,False
Corey Brewer,F,2.5,1.2,0.8,0.2,4.1,0.562,SF,2019,False,False
Mikal Bridges,F,3.2,2.1,1.6,0.5,8.3,0.556,SF,2019,False,False
Miles Bridges,F,4.0,1.2,0.7,0.6,7.5,0.548,SF,2019,False,False
Isaiah Briscoe,G,1.9,2.2,0.3,0.1,3.5,0.455,PG,2019,False,False
Ryan Broekhoff,G,1.5,0.5,0.1,0.1,4.0,0.621,SG,2019,False,False
Malcolm Brogdon,G,4.5,3.2,0.7,0.2,15.6,0.614,SG,2019,False,False
Dillon Brooks,F,1.7,0.9,0.6,0.2,7.5,0.499,SF,2019,False,False
MarShon Brooks,G,1.6,0.9,0.3,0.1,6.6,0.518,SG,2019,False,False
Bruce Brown,G,2.5,1.2,0.5,0.5,4.3,0.469,SG,2019,False,False
Jaylen Brown,G,4.2,1.4,0.9,0.4,13.0,0.547,SG,2019,False,False
Lorenzo Brown,G,1.2,1.1,0.5,0.2,2.1,0.38,PG,2019,False,False
Sterling Brown,G,3.2,1.4,0.4,0.1,6.4,0.563,SG,2019,False,False
Troy Brown Jr.,F,2.8,1.5,0.4,0.1,4.8,0.487,SF,2019,False,False
Jalen Brunson,G,2.3,3.2,0.5,0.1,9.3,0.549,PG,2019,False,False
Thomas Bryant,C,6.3,1.3,0.3,0.9,10.5,0.674,C,2019,False,False
Reggie Bullock,G,2.6,1.1,0.8,0.4,9.3,0.545,SG,2019,False,False
Trey Burke,G,1.5,2.6,0.5,0.1,9.7,0.574,PG,2019,False,False
Alec Burks,G,1.7,0.8,0.6,0.1,1.7,0.495,SG,2019,False,False
Deonte Burton,G,0.9,0.3,0.2,0.3,2.6,0.47,SG,2019,False,False
Jimmy Butler,F,5.3,4.0,1.8,0.5,18.2,0.569,SF,2019,False,False
Bruno Caboclo,F,4.6,1.5,0.4,1.0,8.3,0.571,PF,2019,False,False
José Calderón,G,1.2,2.3,0.3,0.1,2.3,0.453,PG,2019,False,False
Kentavious Caldwell-Pope,G,2.9,1.3,0.9,0.2,11.4,0.568,SG,2019,False,False
Isaiah Canaan,G,1.0,0.8,0.0,0.3,1.5,0.5,PG,2019,False,False
Clint Capela,C,12.7,1.4,0.7,1.5,16.6,0.658,C,2019,False,False
DeMarre Carroll,F,5.2,1.3,0.5,0.1,11.1,0.546,PF,2019,False,False
Jevon Carter,G,1.7,1.8,0.7,0.3,4.4,0.432,PG,2019,False,False
Vince Carter,F,2.6,1.1,0.6,0.4,7.4,0.565,PF,2019,False,False
Wendell Carter Jr.,C,7.0,1.8,0.6,1.3,10.3,0.541,C,2019,False,False
Michael Carter-Williams,G,4.8,4.1,0.9,0.8,5.4,0.44,PG,2019,False,False
Alex Caruso,G,2.7,3.1,1.0,0.4,9.2,0.569,PG,2019,False,False
Omri Casspi,F,3.2,0.7,0.6,0.3,6.3,0.606,SF,2019,False,False
Willie Cauley-Stein,C,8.4,2.4,1.2,0.6,11.9,0.566,C,2019,False,False
Troy Caupain,G,0.8,1.0,0.3,0.0,2.5,0.625,PG,2019,False,False
Tyler Cavanaugh,F,0.7,0.1,0.0,0.0,0.8,0.414,PF,2019,False,False
Tyson Chandler,C,5.6,0.6,0.4,0.5,3.1,0.626,C,2019,False,False
Wilson Chandler,F,3.1,0.7,0.2,0.2,4.3,0.463,SF,2019,False,False
Joe Chealey,G,0.0,1.0,0.0,0.0,2.0,0.333,PG,2019,False,False
Chris Chiozza,G,0.6,0.6,0.1,0.1,0.9,0.375,PG,2019,False,False
Marquese Chriss,F,4.2,0.6,0.6,0.3,5.7,0.47,PF,2019,False,False
Gary Clark,F,2.3,0.4,0.4,0.5,2.9,0.48,PF,2019,False,False
Ian Clark,G,1.5,1.6,0.4,0.1,6.7,0.502,SG,2019,False,False
Jordan Clarkson,G,3.3,2.4,0.7,0.2,16.8,0.539,SG,2019,False,False
John Collins,F,9.8,2.0,0.4,0.6,19.5,0.627,PF,2019,False,False
Zach Collins,C,4.2,0.9,0.3,0.9,6.6,0.562,C,2019,False,False
Darren Collison,G,3.1,6.0,1.4,0.1,11.2,0.574,PG,2019,False,False
Bonzie Colson,F,3.8,0.4,0.6,0.1,4.9,0.454,SF,2019,False,False
Mike Conley,G,3.4,6.4,1.3,0.3,21.1,0.569,PG,2019,False,False
Pat Connaughton,G,4.2,2.0,0.5,0.4,6.9,0.573,SG,2019,False,False
Quinn Cook,G,2.1,1.6,0.3,0.0,6.9,0.565,PG,2019,False,False
DeMarcus Cousins,C,8.2,3.6,1.3,1.5,16.3,0.562,C,2019,False,False
Robert Covington,F,5.7,1.5,2.3,1.1,14.5,0.58,SF,2019,False,False
Allen Crabbe,G,3.4,1.1,0.5,0.3,9.6,0.519,SG,2019,False,False
Torrey Craig,F,3.5,1.0,0.5,0.6,5.7,0.547,SF,2019,False,False
Jamal Crawford,G,1.3,3.6,0.5,0.2,7.9,0.522,SG,2019,False,False
Mitch Creek,F,2.0,1.0,1.0,0.0,6.0,0.5,SF,2019,False,False
Jae Crowder,F,4.8,1.7,0.8,0.4,11.9,0.538,SF,2019,False,False
Dante Cunningham,F,2.9,0.8,0.4,0.2,3.0,0.585,PF,2019,False,False
Seth Curry,G,1.6,0.9,0.5,0.2,7.9,0.595,SG,2019,False,False
Stephen Curry,G,5.3,5.2,1.3,0.4,27.3,0.641,PG,2019,True,False
Troy Daniels,G,1.4,0.5,0.5,0.1,6.2,0.558,SG,2019,False,False
Anthony Davis,C,12.0,3.9,1.6,2.4,25.9,0.597,C,2019,True,False
Deyonta Davis,C,4.0,0.6,0.3,0.6,4.0,0.682,C,2019,False,False
Ed Davis,C,8.6,0.8,0.4,0.4,5.8,0.632,C,2019,False,False
Tyler Davis,C,1.0,0.0,0.0,0.0,0.0,0.0,C,2019,False,False
Dewayne Dedmon,C,7.5,1.4,1.1,1.1,10.8,0.602,C,2019,False,False
Sam Dekker,F,3.0,1.0,0.7,0.2,6.1,0.514,PF,2019,False,False
Ángel Delgado,C,2.0,0.0,0.5,0.0,1.5,0.255,C,2019,False,False
Matthew Dellavedova,G,1.9,4.2,0.3,0.1,7.3,0.537,PG,2019,False,False
Luol Deng,F,3.3,0.8,0.7,0.4,7.1,0.588,SF,2019,False,False
DeMar DeRozan,G,6.0,6.2,1.1,0.5,21.2,0.542,SG,2019,False,False
Marcus Derrickson,F,1.2,0.1,0.0,0.1,4.2,0.653,PF,2019,False,False
Cheick Diallo,F,5.2,0.5,0.5,0.5,6.0,0.644,PF,2019,False,False
Hamidou Diallo,G,1.9,0.3,0.4,0.2,3.7,0.497,SG,2019,False,False
Gorgui Dieng,C,4.1,0.9,0.6,0.5,6.4,0.572,C,2019,False,False
Spencer Dinwiddie,G,2.4,4.6,0.6,0.3,16.8,0.58,PG,2019,False,False
Donte DiVincenzo,G,2.4,1.1,0.5,0.2,4.9,0.507,SG,2019,False,False
Luka Dončić,G,7.8,6.0,1.1,0.3,21.2,0.545,SG,2019,False,False
Tyler Dorsey,G,3.3,1.9,0.3,0.0,9.8,0.541,SG,2019,False,False
Damyean Dotson,G,3.6,1.8,0.8,0.1,10.7,0.526,SG,2019,False,False
PJ Dozier,G,2.8,0.8,0.3,0.0,3.2,0.434,SG,2019,False,False
Goran Dragić,G,3.1,4.8,0.8,0.1,13.7,0.517,PG,2019,False,False
Andre Drummond,C,15.6,1.4,1.7,1.7,17.3,0.555,C,2019,False,False
Jared Dudley,F,2.6,1.4,0.6,0.3,4.9,0.554,PF,2019,False,False
Kris Dunn,G,4.1,6.0,1.5,0.5,11.3,0.484,PG,2019,False,False
Kevin Durant,F,6.4,5.9,0.7,1.1,26.0,0.631,SF,2019,True,False
Trevon Duval,G,0.3,0.7,0.0,0.0,1.7,0.833,PG,2019,False,False
Vince Edwards,F,1.0,0.0,0.0,0.0,1.5,0.375,SF,2019,False,False
Henry Ellenson,F,3.4,0.9,0.4,0.1,6.0,0.536,PF,2019,False,False
Wayne Ellington,G,2.1,1.5,1.1,0.1,12.0,0.584,SG,2019,False,False
Joel Embiid,C,13.6,3.7,0.7,1.9,27.5,0.593,C,2019,True,False
James Ennis III,F,3.6,0.8,0.2,0.4,5.3,0.51,SF,2019,False,False
Drew Eubanks,F,1.5,0.3,0.1,0.2,1.8,0.646,PF,2019,False,False
Jacob Evans,G,0.8,0.8,0.2,0.1,1.3,0.374,SG,2019,False,False
Jawun Evans,G,0.0,0.0,0.0,0.0,0.0,0.0,PG,2019,False,False
Tyreke Evans,G,2.9,2.4,0.8,0.3,10.2,0.483,SG,2019,False,False
Dante Exum,G,1.6,2.6,0.3,0.1,6.9,0.516,PG,2019,False,False
Kenneth Faried,C,8.2,0.7,0.6,0.8,12.9,0.622,C,2019,False,False
Derrick Favors,C,7.4,1.2,0.7,1.4,11.8,0.624,C,2019,False,False
Cristiano Felício,C,3.6,0.6,0.2,0.1,4.0,0.568,C,2019,False,False
Raymond Felton,G,1.0,1.6,0.3,0.2,4.3,0.505,PG,2019,False,False
Terrance Ferguson,G,1.9,1.0,0.5,0.2,6.9,0.566,SG,2019,False,False
Yogi Ferrell,G,1.5,1.9,0.5,0.1,5.9,0.55,PG,2019,False,False
Dorian Finney-Smith,F,4.8,1.2,0.9,0.4,7.5,0.53,SF,2019,False,False
Bryn Forbes,G,2.9,2.1,0.5,0.0,11.8,0.586,SG,2019,False,False
Evan Fournier,G,3.2,3.6,0.9,0.1,15.1,0.536,SG,2019,False,False
De'Aaron Fox,G,3.8,7.3,1.6,0.6,17.3,0.544,PG,2019,False,False
Melvin Frazier,G,0.5,0.1,0.1,0.0,1.5,0.33,SG,2019,False,False
Tim Frazier,G,2.6,3.5,0.4,0.1,6.3,0.523,PG,2019,False,False
Jimmer Fredette,G,1.2,1.3,0.5,0.0,3.7,0.348,SG,2019,False,False
Enes Freedom,C,8.6,1.4,0.6,0.4,13.1,0.614,C,2019,False,False
Channing Frye,C,1.4,0.6,0.2,0.1,3.6,0.524,C,2019,False,False
Markelle Fultz,G,3.7,3.1,0.9,0.3,8.2,0.452,SG,2019,False,False
Danilo Gallinari,F,6.1,2.6,0.7,0.3,19.8,0.633,SF,2019,False,False
Langston Galloway,G,2.1,1.1,0.5,0.1,8.4,0.534,SG,2019,False,False
Billy Garrett,G,0.8,1.8,0.3,0.3,6.5,0.452,SG,2019,False,False
Marc Gasol,C,6.6,3.9,0.9,0.9,9.1,0.565,C,2019,False,False
Pau Gasol,C,3.3,0.7,0.0,0.3,1.3,0.291,C,2019,False,False
Rudy Gay,F,6.8,2.6,0.8,0.5,13.7,0.583,PF,2019,False,False
Paul George,F,8.2,4.1,2.2,0.4,28.0,0.583,SF,2019,True,False
Taj Gibson,F,6.5,1.2,0.8,0.6,10.8,0.612,PF,2019,False,False
Harry Giles,F,3.8,1.5,0.5,0.4,7.0,0.526,PF,2019,False,False
Shai Gilgeous-Alexander,G,2.8,3.3,1.2,0.5,10.8,0.554,PG,2019,False,False
Rudy Gobert,C,12.9,2.0,0.8,2.3,15.9,0.682,C,2019,False,False
Brandon Goodwin,G,0.2,0.9,0.0,0.0,1.4,0.413,PG,2019,False,False
Aaron Gordon,F,7.4,3.7,0.7,0.7,16.0,0.538,PF,2019,False,False
Eric Gordon,G,2.2,1.9,0.6,0.4,16.2,0.549,SG,2019,False,False
Marcin Gortat,C,5.6,1.4,0.1,0.5,5.0,0.562,C,2019,False,False
Devonte' Graham,G,1.4,2.6,0.5,0.0,4.7,0.459,PG,2019,False,False
Treveon Graham,G,3.1,1.0,0.4,0.2,5.3,0.458,SG,2019,False,False
Jerami Grant,F,5.2,1.0,0.8,1.3,13.6,0.592,PF,2019,False,False
Jerian Grant,G,1.6,2.6,0.7,0.1,4.2,0.526,PG,2019,False,False
Donte Grantham,F,0.0,0.0,0.0,0.0,0.0,0.0,SF,2019,False,False
Danny Green,G,4.0,1.6,0.9,0.7,10.3,0.632,SG,2019,False,False
Draymond Green,F,7.3,6.9,1.4,1.1,7.4,0.526,PF,2019,False,False
Gerald Green,G,2.5,0.5,0.5,0.4,9.2,0.555,SG,2019,False,False
JaMychal Green,F,6.5,0.6,0.5,0.3,8.7,0.6,PF,2019,False,False
Jeff Green,F,4.0,1.8,0.6,0.5,12.3,0.608,PF,2019,False,False
Blake Griffin,F,7.5,5.4,0.7,0.4,24.5,0.581,PF,2019,True,False
Daniel Hamilton,G,2.5,1.2,0.3,0.1,3.0,0.455,SG,2019,False,False
Dusty Hannahs,G,0.5,2.5,0.5,0.0,4.0,0.311,SG,2019,False,False
Tim Hardaway Jr.,G,3.2,1.9,0.6,0.1,15.5,0.514,SG,2019,False,False
James Harden,G,6.6,7.5,2.0,0.7,36.1,0.616,PG,2019,True,False
Maurice Harkless,F,4.5,1.2,1.1,0.9,7.7,0.547,SF,2019,False,False
Montrezl Harrell,C,6.5,2.0,0.9,1.3,16.6,0.636,C,2019,False,False
Devin Harris,G,1.6,1.8,0.5,0.2,6.3,0.527,PG,2019,False,False
Gary Harris,G,2.8,2.2,1.0,0.3,12.9,0.526,SG,2019,False,False
Joe Harris,G,3.8,2.4,0.5,0.2,13.7,0.645,SG,2019,False,False
Tobias Harris,F,7.9,2.9,0.4,0.5,18.2,0.562,PF,2019,False,False
Andrew Harrison,G,0.8,1.2,0.0,0.0,1.5,0.349,PG,2019,False,False
Shaquille Harrison,G,3.0,1.9,1.2,0.4,6.5,0.494,SG,2019,False,False
Josh Hart,G,3.7,1.4,1.0,0.6,7.8,0.526,SG,2019,False,False
Isaiah Hartenstein,F,1.7,0.5,0.3,0.4,1.9,0.562,PF,2019,False,False
Udonis Haslem,C,2.7,0.2,0.0,0.0,2.5,0.36,C,2019,False,False
Gordon Hayward,F,4.5,3.4,0.9,0.3,11.5,0.575,PF,2019,False,False
John Henson,C,5.1,1.0,0.5,0.8,5.6,0.553,C,2019,False,False
Juancho Hernangómez,F,3.8,0.8,0.4,0.3,5.8,0.58,PF,2019,False,False
Willy Hernangómez,C,5.4,1.0,0.3,0.3,7.3,0.587,C,2019,False,False
Mario Hezonja,F,4.1,1.5,1.0,0.1,8.8,0.497,SF,2019,False,False
Isaiah Hicks,F,2.3,0.7,0.3,1.0,4.0,0.588,PF,2019,False,False
Buddy Hield,G,5.0,2.5,0.7,0.4,20.7,0.587,SG,2019,False,False
Haywood Highsmith,F,1.0,0.4,0.2,0.0,1.8,0.414,SF,2019,False,False
Nenê,C,2.9,0.6,0.4,0.4,3.6,0.552,C,2019,False,False
George Hill,G,2.6,2.1,0.9,0.1,6.8,0.534,PG,2019,False,False
Solomon Hill,F,3.0,1.3,0.5,0.2,4.3,0.497,SF,2019,False,False
Aaron Holiday,G,1.3,1.7,0.4,0.3,5.9,0.518,PG,2019,False,False
Jrue Holiday,G,5.0,7.7,1.6,0.8,21.2,0.555,SG,2019,False,False
Justin Holiday,G,3.5,1.4,1.2,0.3,9.5,0.509,SG,2019,False,False
Rondae Hollis-Jefferson,F,5.3,1.6,0.7,0.5,8.9,0.464,SF,2019,False,False
Richaun Holmes,C,4.7,0.9,0.6,1.1,8.2,0.647,C,2019,False,False
Rodney Hood,G,1.7,1.3,0.8,0.3,9.6,0.549,SG,2019,False,False
Al Horford,C,6.7,4.2,0.9,1.3,13.6,0.605,C,2019,False,False
Danuel House Jr.,F,3.6,1.0,0.5,0.3,9.4,0.646,SF,2019,False,False
Dwight Howard,C,9.2,0.4,0.8,0.4,12.8,0.638,C,2019,False,False
Kevin Huerter,G,3.3,2.9,0.9,0.3,9.7,0.533,SG,2019,False,False
Isaac Humphries,C,2.2,0.0,0.2,0.0,3.0,0.357,C,2019,False,False
R.J. Hunter,G,3.0,3.0,1.0,0.0,17.0,0.612,SG,2019,False,False
Chandler Hutchison,F,4.2,0.8,0.5,0.1,5.2,0.507,SF,2019,False,False
Serge Ibaka,C,8.1,1.3,0.4,1.4,15.0,0.582,C,2019,False,False
Andre Iguodala,F,3.7,3.2,0.9,0.8,5.7,0.587,SF,2019,False,False
Ersan İlyasova,F,4.5,0.8,0.5,0.3,6.8,0.548,PF,2019,False,False
Joe Ingles,F,4.0,5.7,1.2,0.2,12.1,0.581,PF,2019,False,False
Andre Ingram,G,0.5,0.0,0.3,0.0,0.0,0.0,SG,2019,False,False
Brandon Ingram,F,5.1,3.0,0.5,0.6,18.3,0.555,SF,2019,False,False
Kyrie Irving,G,5.0,6.9,1.5,0.5,23.8,0.592,PG,2019,True,False
Jonathan Isaac,F,5.5,1.1,0.8,1.3,9.6,0.537,PF,2019,False,False
Wes Iwundu,F,2.7,1.1,0.4,0.3,5.0,0.531,SF,2019,False,False
Demetrius Jackson,G,0.5,0.8,0.3,0.0,3.7,0.656,PG,2019,False,False
Frank Jackson,G,2.2,1.1,0.4,0.0,8.1,0.517,PG,2019,False,False
Jaren Jackson Jr.,F,4.7,1.1,0.9,1.4,13.8,0.591,PF,2019,False,False
Josh Jackson,G,4.4,2.3,0.9,0.7,11.5,0.487,SG,2019,False,False
Justin Jackson,F,2.3,1.0,0.3,0.0,8.2,0.584,SF,2019,False,False
Reggie Jackson,G,2.6,4.2,0.7,0.1,15.4,0.547,PG,2019,False,False
LeBron James,F,8.5,8.3,1.3,0.6,27.4,0.588,SF,2019,True,False
Amile Jefferson,F,1.8,0.3,0.3,0.3,2.3,0.692,PF,2019,False,False
John Jenkins,G,1.6,1.0,0.0,0.1,5.2,0.518,SG,2019,False,False
Jonas Jerebko,F,3.9,1.3,0.4,0.2,6.3,0.588,PF,2019,False,False
Alize Johnson,F,1.4,0.1,0.1,0.2,0.9,0.333,PF,2019,False,False
Amir Johnson,C,2.9,1.2,0.3,0.3,3.9,0.574,C,2019,False,False
B.J. Johnson,F,0.0,0.0,0.0,0.0,2.0,0.5,SF,2019,False,False
James Johnson,F,3.2,2.5,0.6,0.5,7.8,0.522,PF,2019,False,False
Stanley Johnson,F,2.3,1.6,0.7,0.1,5.3,0.496,SF,2019,False,False
Tyler Johnson,G,4.0,4.2,1.1,0.5,11.1,0.506,PG,2019,False,False
Wesley Johnson,F,1.5,0.6,0.2,0.4,2.8,0.372,SF,2019,False,False
Nikola Jokić,C,10.8,7.3,1.4,0.7,20.1,0.589,C,2019,True,False
Damian Jones,C,3.1,1.2,0.5,1.0,5.4,0.72,C,2019,False,False
Derrick Jones Jr.,F,4.0,0.6,0.8,0.7,7.0,0.559,SF,2019,False,False
Jalen Jones,F,2.1,0.4,0.6,0.1,5.1,0.548,SF,2019,False,False
Jemerrio Jones,F,8.2,2.2,1.2,0.8,4.5,0.398,SF,2019,False,False
Terrence Jones,F,2.0,0.0,0.0,0.0,1.0,0.225,PF,2019,False,False
Tyus Jones,G,2.0,4.8,1.2,0.1,6.9,0.491,PG,2019,False,False
DeAndre Jordan,C,11.4,3.0,0.5,1.1,10.9,0.681,C,2019,False,False
Cory Joseph,G,3.4,3.9,1.1,0.3,6.5,0.474,PG,2019,False,False
Frank Kaminsky,C,3.5,1.3,0.3,0.3,8.6,0.587,C,2019,False,False
Luke Kennard,G,2.9,1.8,0.4,0.2,9.7,0.56,SG,2019,False,False
Michael Kidd-Gilchrist,F,3.8,1.0,0.5,0.6,6.7,0.553,PF,2019,False,False
Maxi Kleber,F,4.6,1.0,0.5,1.1,6.8,0.579,PF,2019,False,False
Brandon Knight,G,1.9,2.3,0.7,0.1,8.5,0.515,PG,2019,False,False
Kevin Knox,F,4.5,1.1,0.6,0.3,12.8,0.475,PF,2019,False,False
Furkan Korkmaz,G,2.2,1.1,0.6,0.0,5.8,0.528,SG,2019,False,False
Luke Kornet,F,2.9,1.2,0.6,0.9,7.0,0.531,PF,2019,False,False
Kyle Korver,G,2.5,1.2,0.4,0.2,9.1,0.569,SG,2019,False,False
Kosta Koufos,C,4.2,0.9,0.4,0.4,3.7,0.477,C,2019,False,False
Rodions Kurucs,F,3.9,0.8,0.7,0.4,8.5,0.545,SF,2019,False,False
Kyle Kuzma,F,5.5,2.5,0.6,0.4,18.7,0.546,PF,2019,False,False
Skal Labissière,F,2.1,0.6,0.3,0.3,3.4,0.716,PF,2019,False,False
Jeremy Lamb,G,5.5,2.2,1.1,0.4,15.3,0.552,SG,2019,False,False
Zach LaVine,G,4.7,4.5,1.0,0.4,23.7,0.574,SG,2019,False,False
Jake Layman,F,3.1,0.7,0.4,0.4,7.6,0.594,SF,2019,False,False
T.J. Leaf,F,2.2,0.4,0.2,0.3,3.9,0.572,PF,2019,False,False
Courtney Lee,G,1.2,1.0,0.6,0.0,3.6,0.47,SG,2019,False,False
Damion Lee,G,2.0,0.4,0.4,0.0,4.9,0.578,SG,2019,False,False
Walt Lemon Jr.,G,4.5,5.0,1.8,0.2,14.3,0.468,PG,2019,False,False
Alex Len,C,5.5,1.1,0.4,0.9,11.1,0.575,C,2019,False,False
Kawhi Leonard,F,7.3,3.3,1.8,0.4,26.6,0.606,SF,2019,True,False
Meyers Leonard,C,3.8,1.2,0.2,0.1,5.9,0.675,C,2019,False,False
Jon Leuer,F,2.4,0.3,0.3,0.1,3.8,0.616,PF,2019,False,False
Caris LeVert,F,3.8,3.9,1.1,0.4,13.7,0.509,SF,2019,False,False
Damian Lillard,G,4.6,6.9,1.1,0.4,25.8,0.588,PG,2019,True,False
Jeremy Lin,G,2.6,2.2,0.4,0.3,7.0,0.464,PG,2019,False,False
Shaun Livingston,G,1.8,1.8,0.5,0.4,4.0,0.555,PG,2019,False,False
Zach Lofton,G,0.0,0.0,1.0,0.0,0.0,0.0,SG,2019,False,False
Kevon Looney,C,5.2,1.5,0.6,0.7,6.3,0.636,C,2019,False,False
Brook Lopez,C,4.9,1.2,0.6,2.2,12.5,0.597,C,2019,False,False
Robin Lopez,C,3.9,1.2,0.1,1.1,9.5,0.598,C,2019,False,False
Kevin Love,F,10.9,2.2,0.3,0.2,17.0,0.561,PF,2019,False,False
Kyle Lowry,G,4.8,8.7,1.4,0.5,14.2,0.562,PG,2019,True,False
