Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star
robyis01,24,0.497,2.5,0.9,4.1,0.2,0.4,Isaiah Roby,F,PF,2023,False
roddyda01,21,0.527,2.7,0.7,6.6,0.3,0.4,David Roddy,F,PF,2023,False
rolliry01,20,0.508,1.0,0.5,1.9,0.1,0.1,Ryan Rollins,G,PG,2023,False
rosede01,34,0.463,1.5,1.7,5.6,0.2,0.3,Derrick Rose,G,PG,2023,False
rosste01,31,0.5486666666666667,2.566666666666667,1.4666666666666668,8.299999999999999,0.16666666666666666,0.5666666666666667,Terrence Ross,G,SG,2023,False
roziete01,28,0.517,4.1,5.1,21.1,0.3,1.2,Terry Rozier,G,SG,2023,False
rubiori01,32,0.458,2.0,3.3,5.2,0.2,0.8,Ricky Rubio,G,PG,2023,False
russeda01,26,0.602,3.033333333333333,6.233333333333333,17.6,0.43333333333333335,0.9333333333333332,D'Angelo Russell,G,PG,2023,False
ryanma01,25,0.5386666666666667,0.8666666666666667,0.43333333333333335,3.733333333333333,0.0,0.16666666666666666,Matt Ryan,F,SF,2023,False
sabondo01,26,0.667,12.4,7.2,19.2,0.5,0.8,Domantas Sabonis,C,C,2023,True
samanlu01,23,0.613,4.3,1.8,7.3,0.5,0.8,Luka Šamanić,F,PF,2023,False
saricda01,28,0.5923333333333333,3.4,1.2,6.333333333333333,0.06666666666666667,0.3333333333333333,Dario Šarić,F,PF,2023,False
sarrol01,23,0.429,2.3,0.4,2.0,0.7,0.0,Olivier Sarr,C,C,2023,False
schakjo01,24,0.75,0.0,0.5,1.5,0.0,0.5,Jordan Schakel,F,SF,2023,False
schofad01,25,0.612,1.6,0.8,4.0,0.1,0.2,Admiral Schofield,F,PF,2023,False
schrode01,29,0.548,2.5,4.5,12.7,0.2,0.8,Dennis Schröder,G,PG,2023,False
scrubja01,22,1.0,1.0,0.0,2.0,0.0,0.0,Jay Scrubb,G,SG,2023,False
seabrde01,22,0.4,0.2,0.0,0.8,0.0,0.0,Dereon Seabron,G,SG,2023,False
sengual01,20,0.6,8.8,3.9,14.8,0.9,0.9,Alperen Şengün,C,C,2023,False
sextoco01,24,0.616,2.2,2.9,14.3,0.1,0.6,Collin Sexton,G,SG,2023,False
shamela01,25,0.539,1.6,2.2,8.7,0.1,0.6,Landry Shamet,G,SG,2023,False
sharpda01,21,0.581,4.1,0.7,4.6,0.6,0.3,Day'Ron Sharpe,C,C,2023,False
sharpsh01,19,0.57,2.9,1.1,9.6,0.3,0.4,Shaedon Sharpe,G,SG,2023,False
siakapa01,28,0.563,7.9,5.9,24.2,0.5,0.9,Pascal Siakam,C,C,2023,True
silvach01,26,1.0,0.0,0.0,2.0,0.0,0.0,Chris Silva,F,PF,2023,False
simmobe01,26,0.559,6.3,6.1,6.9,0.6,1.3,Ben Simmons,G,PG,2023,False
simmoko01,25,0.425,0.3,0.7,1.7,0.3,0.0,Kobi Simmons,G,PG,2023,False
simonan01,23,0.581,2.6,4.1,21.1,0.2,0.7,Anfernee Simons,G,SG,2023,False
simonma01,23,0.25,0.2,0.0,0.4,0.0,0.0,Marko Simonovic,C,C,2023,False
simsje01,24,0.774,4.6,0.5,3.4,0.6,0.3,Jericho Sims,C,C,2023,False
smartma01,28,0.538,3.1,6.3,11.5,0.4,1.5,Marcus Smart,G,PG,2023,False
smithde03,25,0.475,3.1,4.8,8.8,0.5,1.4,Dennis Smith Jr.,G,PG,2023,False
smithdr01,25,0.49933333333333335,1.6000000000000003,1.3,3.366666666666667,0.3333333333333333,0.7666666666666666,Dru Smith,G,SG,2023,False
smithis01,34,0.412,1.2,2.1,2.3,0.2,0.2,Ish Smith,G,PG,2023,False
smithja04,22,0.559,5.8,1.0,9.3,0.9,0.3,Jalen Smith,F,PF,2023,False
smithja05,19,0.51,7.3,1.3,12.7,0.9,0.5,Jabari Smith Jr.,F,PF,2023,False
sneedxa01,25,0.856,1.3,1.3,5.0,0.3,0.0,Xavier Sneed,F,SF,2023,False
sochaje01,19,0.509,5.3,2.5,11.0,0.4,0.8,Jeremy Sochan,F,PF,2023,False
sprinja01,20,0.467,0.9,0.4,1.6,0.1,0.4,Jaden Springer,G,SG,2023,False
stevela01,25,0.53,3.3,0.5,5.2,0.3,0.4,Lamar Stevens,F,PF,2023,False
stewais01,21,0.56,8.1,1.4,11.3,0.7,0.4,Isaiah Stewart,C,C,2023,False
strusma01,26,0.556,3.3,2.1,11.7,0.1,0.5,Max Strus,F,SF,2023,False
suggsja01,21,0.525,2.9,3.0,9.7,0.5,1.3,Jalen Suggs,G,PG,2023,False
sumneed01,27,0.594,1.5,1.3,7.2,0.2,0.6,Edmond Sumner,G,SG,2023,False
swideco01,23,0.5,1.2,0.7,1.5,0.0,0.0,Cole Swider,F,SF,2023,False
tateja01,27,0.546,3.8,2.7,9.1,0.2,0.7,Jae'Sean Tate,F,SF,2023,False
tatumja01,24,0.607,8.8,4.6,30.2,0.7,1.1,Jayson Tatum,F,PF,2023,True
taylote01,23,0.7363333333333334,1.0666666666666667,0.2333333333333333,2.5333333333333337,0.13333333333333333,0.06666666666666667,Terry Taylor,F,PF,2023,False
templga01,36,0.535,0.7,0.5,2.0,0.1,0.4,Garrett Temple,G,SG,2023,False
terryda01,20,0.519,0.9,0.6,1.8,0.1,0.2,Dalen Terry,G,SG,2023,False
theisda01,30,0.497,3.1,1.3,7.0,0.9,0.3,Daniel Theis,C,C,2023,False
thomaca02,21,0.558,1.7,1.4,10.0,0.1,0.3,Cam Thomas,G,SG,2023,False
